Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003
6037404802,14000US06037404802,Census Tract 4048.02,"Census Tract 4048.02, Los Angeles County, California",ca,140,0,ACSSF,5041,,,,,6,37,,,,404802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4768,11846.95,0.402466343,4768,1923,324,136,1205,282,724,174,40.33,6.8,2.85,25.27,5.91,15.18,3.65,58365,597,188,216,31.49,36.18
6037404803,14000US06037404803,Census Tract 4048.03,"Census Tract 4048.03, Los Angeles County, California",ca,140,0,ACSSF,5042,,,,,6,37,,,,404803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787,9810.54,0.182151037,1787,773,0,0,237,4,766,7,43.26,0,0,13.26,0.22,42.87,0.39,58897,167,63,27,37.72,16.17
6037404901,14000US06037404901,Census Tract 4049.01,"Census Tract 4049.01, Los Angeles County, California",ca,140,0,ACSSF,5043,,,,,6,37,,,,404901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5722,12980.87,0.440802428,5722,2432,193,197,1188,0,1237,475,42.5,3.37,3.44,20.76,0,21.62,8.3,68442,446,98,96,21.97,21.52
6037404902,14000US06037404902,Census Tract 4049.02,"Census Tract 4049.02, Los Angeles County, California",ca,140,0,ACSSF,5044,,,,,6,37,,,,404902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4153,15486.67,0.268166107,4153,1458,0,23,1048,0,1341,283,35.11,0,0.55,25.23,0,32.29,6.81,73015,275,135,32,49.09,11.64
6037404903,14000US06037404903,Census Tract 4049.03,"Census Tract 4049.03, Los Angeles County, California",ca,140,0,ACSSF,5045,,,,,6,37,,,,404903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,12627.74,0.210568157,2659,1057,7,87,689,0,585,234,39.75,0.26,3.27,25.91,0,22,8.8,59091,264,40,120,15.15,45.45
6037405001,14000US06037405001,Census Tract 4050.01,"Census Tract 4050.01, Los Angeles County, California",ca,140,0,ACSSF,5046,,,,,6,37,,,,405001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6116,9453.047,0.646987168,6116,2629,48,48,733,0,2453,205,42.99,0.78,0.78,11.98,0,40.11,3.35,81131,319,55,83,17.24,26.02
6037405002,14000US06037405002,Census Tract 4050.02,"Census Tract 4050.02, Los Angeles County, California",ca,140,0,ACSSF,5047,,,,,6,37,,,,405002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089,8975.57,0.344156421,3089,681,16,83,456,0,1655,198,22.05,0.52,2.69,14.76,0,53.58,6.41,64181,220,37,19,16.82,8.64
6037405101,14000US06037405101,Census Tract 4051.01,"Census Tract 4051.01, Los Angeles County, California",ca,140,0,ACSSF,5048,,,,,6,37,,,,405101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5748,13277.62,0.432908956,5748,1573,44,198,1033,0,2298,602,27.37,0.77,3.44,17.97,0,39.98,10.47,74844,465,133,69,28.6,14.84
6037405102,14000US06037405102,Census Tract 4051.02,"Census Tract 4051.02, Los Angeles County, California",ca,140,0,ACSSF,5049,,,,,6,37,,,,405102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4559,12263.75,0.371746124,4559,1590,106,13,1040,0,1697,113,34.88,2.33,0.29,22.81,0,37.22,2.48,45792,623,119,261,19.1,41.89
6037405201,14000US06037405201,Census Tract 4052.01,"Census Tract 4052.01, Los Angeles County, California",ca,140,0,ACSSF,5050,,,,,6,37,,,,405201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4957,9480.221,0.522878098,4957,1772,207,92,811,0,2003,72,35.75,4.18,1.86,16.36,0,40.41,1.45,55230,612,293,156,47.88,25.49
